dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
2304,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“3”的选项。,"身份：peasant_up
手牌：3789JK2R
历史出牌：P0:pass -> P1:pass -> P2:JAAA -> P0:pass -> P1:pass
局势信息：剩余牌数:[15, 17, 8]

当前可行出牌选项：
1. 3 (单张)
2. 7 (单张)
3. J (单张)
4. R (单张)
5. K (单张)
6. 2 (单张)
7. 8 (单张)
8. 9 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张3，消耗废牌减少手牌负担，2大王留作压制 出牌：3。,在当前局势下，打出“3”本是最优策略，但由于特殊规则禁止出“3”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2572,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：peasant_up
手牌：344456799TTQKAA22
历史出牌：P0:56789TJ -> P1:pass -> P2:pass -> P0:Q -> P1:pass
局势信息：剩余牌数:[12, 17, 17]

当前可行出牌选项：
1. K (单张)
2. A (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张K，大牌压制抢夺牌权，迫使对手消耗关键牌 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2600,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“8”的选项。,"身份：landlord
手牌：4578TTJKKA222BR
历史出牌：P1:TJQKA -> P2:3333 -> P0:pass -> P1:pass -> P2:7
局势信息：剩余牌数:[15, 12, 12]

当前可行出牌选项：
1. 8 (单张)
2. J (单张)
3. T (单张)
4. A (单张)
5. B (单张)
6. R (单张)
7. BR (王炸)
8. K (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张8，最小代价压制 出牌：8。,在当前局势下，打出“8”本是最优策略，但由于特殊规则禁止出“8”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2768,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_up
手牌：35566899TTJQKAAA2
历史出牌：P0:2 -> P1:pass -> P2:pass -> P0:7 -> P1:8
局势信息：剩余牌数:[9, 15, 17]

当前可行出牌选项：
1. 9 (单张)
2. T (单张)
3. J (单张)
4. Q (单张)
5. K (单张)
6. 2 (单张)
7. A (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张9，刚好压住8，保持牌力优势，对9被拆散，但优化牌型 出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2827,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_down
手牌：455688899TQQK2
历史出牌：P2:pass -> P0:AA -> P1:pass -> P2:pass -> P0:9
局势信息：剩余牌数:[10, 14, 12]

当前可行出牌选项：
1. T (单张)
2. K (单张)
3. Q (单张)
4. 2 (单张)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张10，最小代价压制，2留作后手 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2896,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：landlord
手牌：7QA
历史出牌：P1:666Q -> P2:pass -> P0:TTTJ -> P1:pass -> P2:pass
局势信息：剩余牌数:[3, 13, 17]

当前可行出牌选项：
1. 7 (单张)
2. A (单张)
3. Q (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手单张7出清，消耗中段牌，保留后手大牌 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2938,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“88”的选项。,"身份：landlord
手牌：34578899TQQKA2R
历史出牌：P0:666JJ -> P1:pass -> P2:pass
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 88 (对子)
2. QQ (对子)
3. 99 (对子)
4. 5 (单张)
5. 7 (单张)
6. 3 (单张)
7. 4 (单张)
8. K (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",打出对88，夺取牌权 出牌：88。,在当前局势下，打出“88”本是最优策略，但由于特殊规则禁止出“88”，为了遵守指令，我选择次优方案打出“QQ”。 出牌：QQ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3028,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“J”的选项。,"身份：peasant_down
手牌：34455TJQQKK
历史出牌：P2:QQ -> P0:AA -> P1:pass -> P2:pass -> P0:T
局势信息：剩余牌数:[11, 11, 15]

当前可行出牌选项：
1. J (单张)
2. Q (单张)
3. K (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张J压住t，策略是抢夺出牌权 出牌：J。,在当前局势下，打出“J”本是最优策略，但由于特殊规则禁止出“J”，为了遵守指令，我选择次优方案打出“Q”。 出牌：Q。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3113,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_up
手牌：46679QQAB
历史出牌：P0:pass -> P1:pass -> P2:3 -> P0:T -> P1:J
局势信息：剩余牌数:[5, 7, 9]

当前可行出牌选项：
1. A (单张)
2. Q (单张)
3. B (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制j，出单张A刚好压住，保留大牌后手 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“Q”。 出牌：Q。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3141,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQ”的选项。,"身份：landlord
手牌：88QQKAA2
历史出牌：P1:pass -> P2:pass -> P0:TT -> P1:pass -> P2:JJ
局势信息：剩余牌数:[8, 12, 14]

当前可行出牌选项：
1. QQ (对子)
2. AA (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制jj，出对q刚好压住，保留大牌后手 出牌：QQ。,在当前局势下，打出“QQ”本是最优策略，但由于特殊规则禁止出“QQ”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3159,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：landlord
手牌：567788TJQQAA
历史出牌：P1:pass -> P2:4444 -> P0:pass -> P1:pass -> P2:6
局势信息：剩余牌数:[12, 13, 12]

当前可行出牌选项：
1. 7 (单张)
2. 8 (单张)
3. T (单张)
4. J (单张)
5. Q (单张)
6. A (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出单张7压住6，争取场上主动权 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3276,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQ”的选项。,"身份：landlord
手牌：35JJQQ
历史出牌：P1:pass -> P2:pass -> P0:6662 -> P1:pass -> P2:pass
局势信息：剩余牌数:[6, 12, 17]

当前可行出牌选项：
1. QQ (对子)
2. JJ (对子)
3. 5 (单张)
4. 3 (单张)
5. J (单张)
6. Q (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对Q 出牌：QQ。,在当前局势下，打出“QQ”本是最优策略，但由于特殊规则禁止出“QQ”，为了遵守指令，我选择次优方案打出“JJ”。 出牌：JJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3289,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQ”的选项。,"身份：peasant_up
手牌：4556778899TQQKKA2
历史出牌：P0:B -> P1:pass -> P2:pass -> P0:TT -> P1:pass
局势信息：剩余牌数:[17, 17, 17]

当前可行出牌选项：
1. QQ (对子)
2. KK (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出对QQ，夺取牌权 出牌：QQ。,在当前局势下，打出“QQ”本是最优策略，但由于特殊规则禁止出“QQ”，为了遵守指令，我选择次优方案打出“KK”。 出牌：KK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3417,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_down
手牌：4566788TJQQKAAA2
历史出牌：P2:B -> P0:pass -> P1:pass -> P2:4 -> P0:9
局势信息：剩余牌数:[18, 16, 15]

当前可行出牌选项：
1. T (单张)
2. J (单张)
3. K (单张)
4. Q (单张)
5. 2 (单张)
6. A (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制9，出单张10刚好压住，保留大牌后手 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3425,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“66”的选项。,"身份：landlord
手牌：4456689JJQA22
历史出牌：P1:K -> P2:2 -> P0:pass -> P1:pass -> P2:44
局势信息：剩余牌数:[13, 12, 10]

当前可行出牌选项：
1. 66 (对子)
2. JJ (对子)
3. 22 (对子)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌对6精准压制，最小代价夺取牌权 出牌：66。,在当前局势下，打出“66”本是最优策略，但由于特殊规则禁止出“66”，为了遵守指令，我选择次优方案打出“JJ”。 出牌：JJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3571,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“99”的选项。,"身份：peasant_down
手牌：355667999TJQAA22
历史出牌：P2:8 -> P0:R -> P1:pass -> P2:pass -> P0:88
局势信息：剩余牌数:[10, 16, 16]

当前可行出牌选项：
1. 99 (对子)
2. AA (对子)
3. 22 (对子)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌对9，刚好压住88，保持牌力优势，拆了对9，但优化牌型 出牌：99。,在当前局势下，打出“99”本是最优策略，但由于特殊规则禁止出“99”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3647,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“345678”的选项。,"身份：landlord
手牌：3455677899TJJQQKAA2R
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 345678 (顺子)
2. 34567 (顺子)
3. 45678 (顺子)
4. 3456789 (顺子)
5. 3456789T (顺子)
6. 6789T (顺子)
7. 456789T (顺子)
8. 56789T (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",顺子345678出击，批量出牌 出牌：345678。,在当前局势下，打出“345678”本是最优策略，但由于特殊规则禁止出“345678”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
3664,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“345678”的选项。,"身份：peasant_up
手牌：33456778JJKB
历史出牌：P0:A -> P1:pass -> P2:2 -> P0:pass -> P1:pass
局势信息：剩余牌数:[8, 14, 12]

当前可行出牌选项：
1. 345678 (顺子)
2. 34567 (顺子)
3. 45678 (顺子)
4. 77 (对子)
5. 33 (对子)
6. JJ (对子)
7. 5 (单张)
8. 7 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手顺子345678出击，一次性走掉6张，保持进攻节奏 出牌：345678。,在当前局势下，打出“345678”本是最优策略，但由于特殊规则禁止出“345678”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
